"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"29016"	"ENSDARG00000040230"	"si:dkey-37m8.11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120214-18\")"	"si:dkey-37m8.11"	"si:dkey-37m8.11 [Source:ZFIN;Acc:ZDB-GENE-120214-18]"	"ZFIN"
"29018"	"ENSDARG00000101094"	"ATP11B"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081031-13\")"	"ATP11B"	"ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]"	"HGNC Symbol"
"29020"	"ENSDARG00000117324"	"LO018196.1"	"=HYPERLINK(\"https://zfin.org/\")"	"LO018196.1"	""	"Clone-based (Ensembl) gene"
"29021"	"ENSDARG00000095844"	"FP102167.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FP102167.1"	""	"Clone-based (Ensembl) gene"
"29022"	"ENSDARG00000070913"	"sox2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030909-1\")"	"sox2"	"SRY-box transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030909-1]"	"ZFIN"
"29024"	"ENSDARG00000044420"	"dnajc19"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1730\")"	"dnajc19"	"DnaJ (Hsp40) homolog, subfamily C, member 19 [Source:ZFIN;Acc:ZDB-GENE-040426-1730]"	"ZFIN"
"29025"	"ENSDARG00000022968"	"fxr1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5431\")"	"fxr1"	"fragile X mental retardation, autosomal homolog 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5431]"	"ZFIN"
"29026"	"ENSDARG00000013845"	"ttc14"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050327-26\")"	"ttc14"	"tetratricopeptide repeat domain 14 [Source:ZFIN;Acc:ZDB-GENE-050327-26]"	"ZFIN"
"29027"	"ENSDARG00000003189"	"psmd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-810\")"	"psmd1"	"proteasome 26S subunit, non-ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-810]"	"ZFIN"
"29029"	"ENSDARG00000060783"	"acap2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-640\")"	"acap2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:ZFIN;Acc:ZDB-GENE-050208-640]"	"ZFIN"
"29030"	"ENSDARG00000054007"	"ppp1r2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1814\")"	"ppp1r2"	"protein phosphatase 1, regulatory (inhibitor) subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1814]"	"ZFIN"
"29033"	"ENSDARG00000053973"	"fetub"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-4\")"	"fetub"	"fetuin B [Source:ZFIN;Acc:ZDB-GENE-050208-4]"	"ZFIN"
"29034"	"ENSDARG00000023236"	"kcnh1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121128-4\")"	"kcnh1b"	"potassium voltage-gated channel, subfamily H (eag-related), member 1b [Source:ZFIN;Acc:ZDB-GENE-121128-4]"	"ZFIN"
"29035"	"ENSDARG00000100625"	"CU659306.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU659306.1"	""	"Clone-based (Ensembl) gene"
"29036"	"ENSDARG00000070958"	"pex6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-252\")"	"pex6"	"peroxisomal biogenesis factor 6 [Source:ZFIN;Acc:ZDB-GENE-081104-252]"	"ZFIN"
"29037"	"ENSDARG00000003373"	"commd2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-118\")"	"commd2"	"COMM domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-040718-118]"	"ZFIN"
"29038"	"ENSDARG00000067719"	"wwtr1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051101-1\")"	"wwtr1"	"WW domain containing transcription regulator 1 [Source:ZFIN;Acc:ZDB-GENE-051101-1]"	"ZFIN"
"29039"	"ENSDARG00000040747"	"tm4sf4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-231\")"	"tm4sf4"	"transmembrane 4 L six family member 4 [Source:ZFIN;Acc:ZDB-GENE-040801-231]"	"ZFIN"
"29040"	"ENSDARG00000060668"	"tm4sf18"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-690\")"	"tm4sf18"	"transmembrane 4 L six family member 18 [Source:ZFIN;Acc:ZDB-GENE-050208-690]"	"ZFIN"
"29041"	"ENSDARG00000010312"	"cp"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010522-1\")"	"cp"	"ceruloplasmin [Source:ZFIN;Acc:ZDB-GENE-010522-1]"	"ZFIN"
"29043"	"ENSDARG00000015749"	"hps3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061110-115\")"	"hps3"	"HPS3 biogenesis of lysosomal organelles complex 2 subunit 1 [Source:ZFIN;Acc:ZDB-GENE-061110-115]"	"ZFIN"
"29046"	"ENSDARG00000117560"	"AL954145.2"	"=HYPERLINK(\"https://zfin.org/\")"	"AL954145.2"	""	"Clone-based (Ensembl) gene"
"29047"	"ENSDARG00000040732"	"elavl2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-9\")"	"elavl2"	"ELAV like neuron-specific RNA binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040704-9]"	"ZFIN"
"29048"	"ENSDARG00000004502"	"rcor3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-371\")"	"rcor3"	"REST corepressor 3 [Source:ZFIN;Acc:ZDB-GENE-050208-371]"	"ZFIN"
"29050"	"ENSDARG00000104014"	"mark1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070626-2\")"	"mark1"	"MAP/microtubule affinity-regulating kinase 1 [Source:ZFIN;Acc:ZDB-GENE-070626-2]"	"ZFIN"
"29051"	"ENSDARG00000113295"	"LO017802.1"	"=HYPERLINK(\"https://zfin.org/\")"	"LO017802.1"	""	"Clone-based (Ensembl) gene"
"29052"	"ENSDARG00000011863"	"ptk7a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-216\")"	"ptk7a"	"protein tyrosine kinase 7a [Source:ZFIN;Acc:ZDB-GENE-050522-216]"	"ZFIN"
"29053"	"ENSDARG00000101008"	"soul4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110718-1\")"	"soul4"	"heme-binding protein soul4 [Source:ZFIN;Acc:ZDB-GENE-110718-1]"	"ZFIN"
"29054"	"ENSDARG00000086985"	"klc4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-350\")"	"klc4"	"kinesin light chain 4 [Source:ZFIN;Acc:ZDB-GENE-050417-350]"	"ZFIN"
"29055"	"ENSDARG00000098644"	"si:ch211-126j24.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-133\")"	"si:ch211-126j24.1"	"si:ch211-126j24.1 [Source:ZFIN;Acc:ZDB-GENE-050208-133]"	"ZFIN"
"29057"	"ENSDARG00000068126"	"nppc"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-24\")"	"nppc"	"natriuretic peptide C [Source:ZFIN;Acc:ZDB-GENE-070705-24]"	"ZFIN"
"29060"	"ENSDARG00000101198"	"BX927181.3"	"=HYPERLINK(\"https://zfin.org/\")"	"BX927181.3"	""	"Clone-based (Ensembl) gene"
"29061"	"ENSDARG00000015273"	"alpi.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050327-78\")"	"alpi.1"	"alkaline phosphatase, intestinal, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050327-78]"	"ZFIN"
"29062"	"ENSDARG00000053774"	"alpi.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050626-142\")"	"alpi.2"	"alkaline phosphatase, intestinal, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050626-142]"	"ZFIN"
"29063"	"ENSDARG00000070898"	"si:ch211-262h13.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-532\")"	"si:ch211-262h13.3"	"si:ch211-262h13.3 [Source:ZFIN;Acc:ZDB-GENE-050208-532]"	"ZFIN"
"29064"	"ENSDARG00000095905"	"BX927181.2"	"=HYPERLINK(\"https://zfin.org/\")"	"BX927181.2"	""	"Clone-based (Ensembl) gene"
"29067"	"ENSDARG00000004932"	"anos1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000201-13\")"	"anos1b"	"anosmin 1b [Source:ZFIN;Acc:ZDB-GENE-000201-13]"	"ZFIN"
"29070"	"ENSDARG00000060646"	"senp5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-772\")"	"senp5"	"SUMO specific peptidase 5 [Source:ZFIN;Acc:ZDB-GENE-050208-772]"	"ZFIN"
"29072"	"ENSDARG00000014898"	"ncbp2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020419-31\")"	"ncbp2"	"nuclear cap binding protein subunit 2 [Source:ZFIN;Acc:ZDB-GENE-020419-31]"	"ZFIN"
"29073"	"ENSDARG00000060645"	"sirt7"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-612\")"	"sirt7"	"sirtuin 7 [Source:ZFIN;Acc:ZDB-GENE-050208-612]"	"ZFIN"
"29074"	"ENSDARG00000040713"	"rbbp9"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-692\")"	"rbbp9"	"retinoblastoma binding protein 9 [Source:ZFIN;Acc:ZDB-GENE-050208-692]"	"ZFIN"
"29075"	"ENSDARG00000013834"	"arhgef3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-773\")"	"arhgef3"	"Rho guanine nucleotide exchange factor (GEF) 3 [Source:ZFIN;Acc:ZDB-GENE-050208-773]"	"ZFIN"
"29076"	"ENSDARG00000089893"	"tasora"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6444\")"	"tasora"	"transcription activation suppressor a [Source:ZFIN;Acc:ZDB-GENE-030131-6444]"	"ZFIN"
"29078"	"ENSDARG00000073744"	"ip6k1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110317-2\")"	"ip6k1"	"inositol hexakisphosphate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-110317-2]"	"ZFIN"
"29079"	"ENSDARG00000017658"	"gmppb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-234\")"	"gmppb"	"GDP-mannose pyrophosphorylase B [Source:ZFIN;Acc:ZDB-GENE-040801-234]"	"ZFIN"
"29080"	"ENSDARG00000002002"	"lmcd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1067\")"	"lmcd1"	"LIM and cysteine-rich domains 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1067]"	"ZFIN"
"29081"	"ENSDARG00000019646"	"twist3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000210-7\")"	"twist3"	"twist3 [Source:ZFIN;Acc:ZDB-GENE-000210-7]"	"ZFIN"
"29082"	"ENSDARG00000105179"	"hdac7a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-150129-1\")"	"hdac7a"	"histone deacetylase 7a [Source:ZFIN;Acc:ZDB-GENE-150129-1]"	"ZFIN"
"29083"	"ENSDARG00000090564"	"PDZD4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-136\")"	"PDZD4"	"PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]"	"HGNC Symbol"
"29084"	"ENSDARG00000097048"	"CU571318.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU571318.1"	""	"Clone-based (Ensembl) gene"
"29085"	"ENSDARG00000062396"	"anks1aa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-152\")"	"anks1aa"	"ankyrin repeat and sterile alpha motif domain containing 1Aa [Source:ZFIN;Acc:ZDB-GENE-090312-152]"	"ZFIN"
"29086"	"ENSDARG00000037855"	"taf11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-283\")"	"taf11"	"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:ZFIN;Acc:ZDB-GENE-040718-283]"	"ZFIN"
"29087"	"ENSDARG00000077011"	"uhrf1bp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-82\")"	"uhrf1bp1"	"UHRF1 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-090312-82]"	"ZFIN"
"29088"	"ENSDARG00000013726"	"ap4b1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1284\")"	"ap4b1"	"adaptor related protein complex 4 subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1284]"	"ZFIN"
"29089"	"ENSDARG00000037852"	"zgc:101663"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-149\")"	"zgc:101663"	"zgc:101663 [Source:ZFIN;Acc:ZDB-GENE-041114-149]"	"ZFIN"
"29091"	"ENSDARG00000013749"	"slc25a55b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-184\")"	"slc25a55b"	"solute carrier family 25 member 55b [Source:ZFIN;Acc:ZDB-GENE-040801-184]"	"ZFIN"
"29093"	"ENSDARG00000059202"	"tspan2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-60\")"	"tspan2b"	"tetraspanin 2b [Source:ZFIN;Acc:ZDB-GENE-100922-60]"	"ZFIN"
"29095"	"ENSDARG00000057907"	"si:ch73-181d5.4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-118\")"	"si:ch73-181d5.4"	"si:ch73-181d5.4 [Source:ZFIN;Acc:ZDB-GENE-100922-118]"	"ZFIN"
"29096"	"ENSDARG00000037846"	"hm13"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020802-3\")"	"hm13"	"histocompatibility (minor) 13 [Source:ZFIN;Acc:ZDB-GENE-020802-3]"	"ZFIN"
"29097"	"ENSDARG00000037845"	"col9a3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9799\")"	"col9a3"	"collagen, type IX, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9799]"	"ZFIN"
"29098"	"ENSDARG00000071288"	"samhd1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-386\")"	"samhd1"	"SAM domain and HD domain 1 [Source:ZFIN;Acc:ZDB-GENE-090313-386]"	"ZFIN"
"29099"	"ENSDARG00000063574"	"mtg2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2209\")"	"mtg2"	"mitochondrial ribosome-associated GTPase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2209]"	"ZFIN"
"29100"	"ENSDARG00000025386"	"lsm14b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-779\")"	"lsm14b"	"LSM family member 14B [Source:ZFIN;Acc:ZDB-GENE-040426-779]"	"ZFIN"
"29101"	"ENSDARG00000077371"	"kcnk15"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080220-30\")"	"kcnk15"	"potassium channel, subfamily K, member 15 [Source:ZFIN;Acc:ZDB-GENE-080220-30]"	"ZFIN"
"29102"	"ENSDARG00000037837"	"ogfr"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-377\")"	"ogfr"	"opioid growth factor receptor [Source:ZFIN;Acc:ZDB-GENE-030131-377]"	"ZFIN"
"29104"	"ENSDARG00000015025"	"l1camb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-512\")"	"l1camb"	"L1 cell adhesion molecule, paralog b [Source:ZFIN;Acc:ZDB-GENE-980526-512]"	"ZFIN"
"29105"	"ENSDARG00000027658"	"irf10"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2084\")"	"irf10"	"interferon regulatory factor 10 [Source:ZFIN;Acc:ZDB-GENE-040426-2084]"	"ZFIN"
"29106"	"ENSDARG00000037833"	"mitfb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010919-1\")"	"mitfb"	"melanocyte inducing transcription factor b [Source:ZFIN;Acc:ZDB-GENE-010919-1]"	"ZFIN"
"29108"	"ENSDARG00000076496"	"frmd4bb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100921-74\")"	"frmd4bb"	"FERM domain containing 4Bb [Source:ZFIN;Acc:ZDB-GENE-100921-74]"	"ZFIN"
"29109"	"ENSDARG00000077400"	"rbm10"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-245\")"	"rbm10"	"RNA binding motif protein 10 [Source:ZFIN;Acc:ZDB-GENE-100922-245]"	"ZFIN"
"29110"	"ENSDARG00000116058"	"rhoac"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2665\")"	"rhoac"	"ras homolog gene family, member Ac [Source:ZFIN;Acc:ZDB-GENE-040426-2665]"	"ZFIN"
"29111"	"ENSDARG00000087641"	"cdh26.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-183\")"	"cdh26.2"	"cadherin 26, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-100922-183]"	"ZFIN"
"29112"	"ENSDARG00000078404"	"cdh26.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-193\")"	"cdh26.1"	"cadherin 26, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-100922-193]"	"ZFIN"
"29113"	"ENSDARG00000093496"	"si:zfos-905g2.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9565\")"	"si:zfos-905g2.1"	"si:zfos-905g2.1 [Source:ZFIN;Acc:ZDB-GENE-030131-9565]"	"ZFIN"
"29114"	"ENSDARG00000058978"	"zgc:113423"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-14\")"	"zgc:113423"	"zgc:113423 [Source:ZFIN;Acc:ZDB-GENE-050913-14]"	"ZFIN"
"29116"	"ENSDARG00000036864"	"slc34a2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030709-1\")"	"slc34a2b"	"solute carrier family 34 member 2b [Source:ZFIN;Acc:ZDB-GENE-030709-1]"	"ZFIN"
"29118"	"ENSDARG00000117249"	"CABZ01079872.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01079872.1"	""	"Clone-based (Ensembl) gene"
"29120"	"ENSDARG00000117527"	"CABZ01079873.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01079873.1"	"protein sel-1 homolog 3-like [Source:NCBI gene;Acc:101886164]"	"Clone-based (Ensembl) gene"
"29121"	"ENSDARG00000100222"	"utrn"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070228-6\")"	"utrn"	"utrophin [Source:ZFIN;Acc:ZDB-GENE-070228-6]"	"ZFIN"
"29125"	"ENSDARG00000019311"	"fbxo30b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1125\")"	"fbxo30b"	"F-box protein 30b [Source:ZFIN;Acc:ZDB-GENE-040426-1125]"	"ZFIN"
"29127"	"ENSDARG00000108006"	"CU693481.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU693481.1"	"fibronectin type III domain-containing protein 7-like [Source:NCBI gene;Acc:101886366]"	"Clone-based (Ensembl) gene"
"29128"	"ENSDARG00000008142"	"stxbp3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2833\")"	"stxbp3"	"syntaxin binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2833]"	"ZFIN"
"29129"	"ENSDARG00000061024"	"rabggta"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-1042\")"	"rabggta"	"Rab geranylgeranyltransferase subunit alpha [Source:ZFIN;Acc:ZDB-GENE-060929-1042]"	"ZFIN"
"29130"	"ENSDARG00000017799"	"tgm1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9032\")"	"tgm1"	"transglutaminase 1, K polypeptide [Source:ZFIN;Acc:ZDB-GENE-030131-9032]"	"ZFIN"
"29131"	"ENSDARG00000006288"	"prdm5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040708-1\")"	"prdm5"	"PR domain containing 5 [Source:ZFIN;Acc:ZDB-GENE-040708-1]"	"ZFIN"
"29132"	"ENSDARG00000062936"	"ndnf"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-207\")"	"ndnf"	"neuron-derived neurotrophic factor [Source:ZFIN;Acc:ZDB-GENE-030131-207]"	"ZFIN"
"29133"	"ENSDARG00000052604"	"cpeb2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-639\")"	"cpeb2"	"cytoplasmic polyadenylation element binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-130530-639]"	"ZFIN"
"29135"	"ENSDARG00000090971"	"cc2d2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2291\")"	"cc2d2a"	"coiled-coil and C2 domain containing 2A [Source:ZFIN;Acc:ZDB-GENE-030131-2291]"	"ZFIN"
"29136"	"ENSDARG00000111585"	"CABZ01048666.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01048666.1"	""	"Clone-based (Ensembl) gene"
"29137"	"ENSDARG00000017891"	"tcp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990714-24\")"	"tcp1"	"t-complex 1 [Source:ZFIN;Acc:ZDB-GENE-990714-24]"	"ZFIN"
"29139"	"ENSDARG00000046019"	"snai1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-514\")"	"snai1b"	"snail family zinc finger 1b [Source:ZFIN;Acc:ZDB-GENE-980526-514]"	"ZFIN"
"29140"	"ENSDARG00000109769"	"LO017835.1"	"=HYPERLINK(\"https://zfin.org/\")"	"LO017835.1"	"tumor protein p53 inducible nuclear protein 2 [Source:NCBI gene;Acc:569441]"	"Clone-based (Ensembl) gene"
"29141"	"ENSDARG00000115805"	"GGT7"	"=HYPERLINK(\"https://zfin.org/\")"	"GGT7"	"gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]"	"HGNC Symbol"
"29142"	"ENSDARG00000115082"	"CABZ01057928.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CABZ01057928.1"	"protein diaphanous homolog 1-like [Source:NCBI gene;Acc:101882228]"	"Clone-based (Ensembl) gene"
"29143"	"ENSDARG00000071272"	"ncoa6"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080403-12\")"	"ncoa6"	"nuclear receptor coactivator 6 [Source:ZFIN;Acc:ZDB-GENE-080403-12]"	"ZFIN"
"29144"	"ENSDARG00000044956"	"zgc:114123"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-53\")"	"zgc:114123"	"zgc:114123 [Source:ZFIN;Acc:ZDB-GENE-050913-53]"	"ZFIN"
"29145"	"ENSDARG00000086775"	"top1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5390\")"	"top1"	"DNA topoisomerase I [Source:ZFIN;Acc:ZDB-GENE-030131-5390]"	"ZFIN"
"29146"	"ENSDARG00000038442"	"plcg1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030421-3\")"	"plcg1"	"phospholipase C, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-030421-3]"	"ZFIN"
"29147"	"ENSDARG00000019774"	"zhx3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031107-1\")"	"zhx3"	"zinc fingers and homeoboxes 3 [Source:ZFIN;Acc:ZDB-GENE-031107-1]"	"ZFIN"
"29148"	"ENSDARG00000074790"	"rab5if"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5938\")"	"rab5if"	"RAB5 interacting factor [Source:ZFIN;Acc:ZDB-GENE-030131-5938]"	"ZFIN"
"29149"	"ENSDARG00000063419"	"DHX35"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-11\")"	"DHX35"	"DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]"	"HGNC Symbol"
"29151"	"ENSDARG00000017121"	"mafba"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-515\")"	"mafba"	"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog Ba [Source:ZFIN;Acc:ZDB-GENE-980526-515]"	"ZFIN"
"29152"	"ENSDARG00000009886"	"rnf114"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040813-1\")"	"rnf114"	"ring finger protein 114 [Source:ZFIN;Acc:ZDB-GENE-040813-1]"	"ZFIN"
"29153"	"ENSDARG00000063250"	"spata2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070822-5\")"	"spata2"	"spermatogenesis associated 2 [Source:ZFIN;Acc:ZDB-GENE-070822-5]"	"ZFIN"
"29154"	"ENSDARG00000105341"	"si:dkey-9l20.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-369\")"	"si:dkey-9l20.3"	"si:dkey-9l20.3 [Source:ZFIN;Acc:ZDB-GENE-090313-369]"	"ZFIN"
"29155"	"ENSDARG00000032865"	"pacsin1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-155\")"	"pacsin1a"	"protein kinase C and casein kinase substrate in neurons 1a [Source:ZFIN;Acc:ZDB-GENE-050522-155]"	"ZFIN"
"29156"	"ENSDARG00000016256"	"nudt3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-792\")"	"nudt3a"	"nudix (nucleoside diphosphate linked moiety X)-type motif 3a [Source:ZFIN;Acc:ZDB-GENE-040426-792]"	"ZFIN"
"29157"	"ENSDARG00000090634"	"smim29"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031118-211\")"	"smim29"	"small integral membrane protein 29 [Source:ZFIN;Acc:ZDB-GENE-031118-211]"	"ZFIN"
"29158"	"ENSDARG00000028335"	"hmga1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010502-1\")"	"hmga1a"	"high mobility group AT-hook 1a [Source:ZFIN;Acc:ZDB-GENE-010502-1]"	"ZFIN"
"29160"	"ENSDARG00000117543"	"CU682640.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU682640.1"	""	"Clone-based (Ensembl) gene"
"29162"	"ENSDARG00000020699"	"slc9a8"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-7\")"	"slc9a8"	"solute carrier family 9 member 8 [Source:ZFIN;Acc:ZDB-GENE-041212-7]"	"ZFIN"
"29163"	"ENSDARG00000037815"	"b4galt5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060628-3\")"	"b4galt5"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5 [Source:ZFIN;Acc:ZDB-GENE-060628-3]"	"ZFIN"
"29164"	"ENSDARG00000076299"	"FQ323119.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FQ323119.1"	""	"Clone-based (Ensembl) gene"
"29165"	"ENSDARG00000018658"	"aar2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-68\")"	"aar2"	"AAR2 splicing factor [Source:ZFIN;Acc:ZDB-GENE-040704-68]"	"ZFIN"
"29166"	"ENSDARG00000037813"	"zgc:113278"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050327-66\")"	"zgc:113278"	"zgc:113278 [Source:ZFIN;Acc:ZDB-GENE-050327-66]"	"ZFIN"
"29167"	"ENSDARG00000016238"	"arl6ip5b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-223\")"	"arl6ip5b"	"ADP-ribosylation factor-like 6 interacting protein 5b [Source:ZFIN;Acc:ZDB-GENE-040718-223]"	"ZFIN"
